(('Lovers', 'Justice'), 'Priestess')
(('Tower', 'Strength'), 'Devil')
(('Empress', 'Hermit'), 'Magician')
(('Moon', 'Fortune'), 'Strength')
(('Justice', 'Emperor'), 'Jester')
(('Emperor', 'Moon'), 'Magician')
(('Empress', 'Priestess'), 'Temperance')
(('Judgement', 'Fortune'), 'Fool')
(('Priestess', 'Magician'), 'Fortune')
(('Magician', 'Temperance'), 'Strength')
(('Empress', 'Justice'), 'Magician')
(('Fortune', 'Lovers'), 'Hanged Man')
(('Fortune', 'Death'), 'Hermit')
(('Aeon', 'Fortune'), 'Fool')
(('Fortune', 'Fool'), 'Judgement')
(('Star', 'Sun'), 'Moon')
(('Justice', 'Justice'), 'Justice')
(('Aeon', 'Sun'), 'Hierophant')
(('Fool', 'Aeon'), 'Death')
(('Chariot', 'Fool'), 'Lovers')
(('Emperor', 'Star'), 'Death')
(('Devil', 'Priestess'), 'Hermit')
(('Priestess', 'Fool'), 'Lovers')
(('Jester', 'Chariot'), 'Strength')
(('Temperance', 'Fool'), 'Justice')
(('Judgement', 'Magician'), 'Sun')
(('Priestess', 'Priestess'), 'Priestess')
(('Hierophant', 'Sun'), 'Strength')
(('Devil', 'Justice'), 'Priestess')
(('Strength', 'Judgement'), 'NA')
(('Tower', 'Tower'), 'Tower')
(('Magician', 'Fool'), 'Fortune')
(('Fool', 'Sun'), 'Devil')
(('Hanged Man', 'Death'), 'Priestess')
(('Jester', 'Tower'), 'Judgement')
(('Fortune', 'Temperance'), 'Devil')
(('Justice', 'Devil'), 'Magician')
(('Death', 'Strength'), 'Empress')
(('Hermit', 'Justice'), 'Emperor')
(('Hanged Man', 'Lovers'), 'Justice')
(('Hermit', 'Moon'), 'Empress')
(('Emperor', 'Sun'), 'Chariot')
(('Moon', 'Moon'), 'Moon')
(('Judgement', 'Devil'), 'Death')
(('Star', 'Chariot'), 'Aeon')
(('Temperance', 'Hierophant'), 'Emperor')
(('Death', 'Tower'), 'Lovers')
(('Priestess', 'Temperance'), 'Hierophant')
(('Star', 'Star'), 'Star')
(('Empress', 'Strength'), 'Hierophant')
(('Justice', 'Hanged Man'), 'Priestess')
(('Fortune', 'Fortune'), 'Fortune')
(('Lovers', 'Fool'), 'Devil')
(('Lovers', 'Jester'), 'Sun')
(('Moon', 'Sun'), 'Strength')
(('Jester', 'Temperance'), 'Priestess')
(('Fool', 'Jester'), 'Priestess')
(('Jester', 'Justice'), 'Hermit')
(('Justice', 'Judgement'), 'Lovers')
(('Devil', 'Star'), 'Emperor')
(('Strength', 'Death'), 'Hanged Man')
(('Strength', 'Moon'), 'Justice')
(('Aeon', 'Justice'), 'Temperance')
(('Empress', 'Sun'), 'Priestess')
(('Lovers', 'Magician'), 'Temperance')
(('Justice', 'Jester'), 'Emperor')
