(('Fortune', 'Aeon'), 'Temperance')
(('Lovers', 'Moon'), 'Chariot')
(('Emperor', 'Tower'), 'Jester')
(('Empress', 'Judgement'), 'Fool')
(('Judgement', 'Death'), 'Justice')
(('Hermit', 'Sun'), 'Devil')
(('Hanged Man', 'Sun'), 'NA')
(('Fortune', 'Temperance'), 'Strength')
(('Tower', 'Chariot'), 'Hermit')
(('Emperor', 'Hanged Man'), 'Lovers')
(('Temperance', 'Empress'), 'Priestess')
(('Magician', 'Devil'), 'NA')
(('Lovers', 'Empress'), 'Hierophant')
(('Devil', 'Emperor'), 'Devil')
(('Magician', 'Justice'), 'Lovers')
(('Hierophant', 'Death'), 'Devil')
(('Justice', 'Empress'), 'Temperance')
(('Devil', 'Magician'), 'Chariot')
(('Lovers', 'Magician'), 'Star')
(('Magician', 'Fool'), 'Moon')
(('Tower', 'Hermit'), 'Emperor')
(('Sun', 'Hierophant'), 'Judgement')
(('Justice', 'Emperor'), 'Lovers')
(('Hermit', 'Justice'), 'Strength')
(('Lovers', 'Jester'), 'Devil')
(('Magician', 'Moon'), 'Lovers')
(('Judgement', 'Strength'), 'Sun')
(('Justice', 'NA'), 'Justice')
(('Hermit', 'Emperor'), 'Magician')
(('Chariot', 'Jester'), 'Priestess')
(('Emperor', 'Temperance'), 'Hanged Man')
(('Fortune', 'Death'), 'Priestess')
(('Hanged Man', 'Death'), 'Chariot')
(('Strength', 'Devil'), 'Death')
(('Fool', 'Devil'), 'Temperance')
(('Justice', 'Temperance'), 'Priestess')
(('Judgement', 'Jester'), 'Lovers')
(('Emperor', 'Strength'), 'Chariot')
(('Temperance', 'Hanged Man'), 'Emperor')
(('Tower', 'Emperor'), 'Fortune')
(('Hierophant', 'Emperor'), 'Magician')
(('Star', 'Fortune'), 'Hermit')
(('Star', 'Sun'), 'Priestess')
(('Hanged Man', 'Aeon'), 'Justice')
(('Priestess', 'Chariot'), 'Justice')
(('Hermit', 'Empress'), 'Moon')
(('Strength', 'Hierophant'), 'Hierophant')
(('Empress', 'Justice'), 'Devil')
(('Temperance', 'Devil'), 'NA')
(('Devil', 'Tower'), 'Hermit')
(('Hermit', 'Magician'), 'Temperance')
(('Empress', 'Fool'), 'Justice')
(('Fortune', 'Chariot'), 'Hermit')
(('Lovers', 'Aeon'), 'Magician')
(('Hierophant', 'NA'), 'Emperor')
(('Priestess', 'NA'), 'Death')
(('Moon', 'NA'), 'Chariot')
(('Chariot', 'Emperor'), 'Sun')
(('Priestess', 'Fool'), 'Empress')
(('Star', 'Priestess'), 'Hanged Man')
(('Hierophant', 'Magician'), 'Sun')
(('Death', 'NA'), 'Death')
(('Tower', 'Priestess'), 'Devil')
(('Priestess', 'Strength'), 'Justice')
(('Hermit', 'Temperance'), 'Judgement')
(('Lovers', 'Fortune'), 'Justice')
(('Priestess', 'Devil'), 'Devil')
(('Tower', 'Lovers'), 'Fortune')
(('Justice', 'Hermit'), 'Magician')
(('Empress', 'Sun'), 'Justice')
(('Star', 'Devil'), 'Lovers')
(('Emperor', 'Star'), 'Empress')
(('Hanged Man', 'Jester'), 'Hanged Man')
(('Fool', 'Star'), 'Empress')
(('Hierophant', 'Sun'), 'Lovers')
(('Death', 'Strength'), 'Temperance')
(('Temperance', 'Hermit'), 'Justice')
(('Star', 'Hierophant'), 'Hanged Man')
(('Hermit', 'Hermit'), 'Priestess')
(('Hanged Man', 'Magician'), 'Chariot')
(('Tower', 'Magician'), 'Magician')
(('Death', 'Hierophant'), 'Magician')
(('Priestess', 'Fortune'), 'Hierophant')
(('Sun', 'Fool'), 'Death')
(('Sun', 'Hanged Man'), 'Chariot')
(('Devil', 'Fool'), 'Hierophant')
(('Lovers', 'Judgement'), 'Justice')
(('Sun', 'Chariot'), 'Hanged Man')
(('Justice', 'Magician'), 'Moon')
(('Strength', 'Temperance'), 'Priestess')
(('Hierophant', 'Lovers'), 'Hanged Man')
(('Lovers', 'Chariot'), 'Devil')
(('Fortune', 'Hanged Man'), 'Justice')
(('Fool', 'Moon'), 'Emperor')
(('Hierophant', 'Moon'), 'Hanged Man')
(('Fool', 'World'), 'Fortune')
(('Hierophant', 'Priestess'), 'Death')
(('Magician', 'Priestess'), 'Strength')
(('Judgement', 'Devil'), 'Moon')
(('Hierophant', 'Empress'), 'Devil')
(('Magician', 'Fortune'), 'Sun')
(('Judgement', 'Tower'), 'Fool')
(('Temperance', 'Chariot'), 'Justice')
(('Emperor', 'Justice'), 'Star')
(('Chariot', 'Temperance'), 'Magician')
(('Emperor', 'Aeon'), 'Sun')
(('Sun', 'Tower'), 'Hermit')
(('Devil', 'Jester'), 'Lovers')
(('Justice', 'Chariot'), 'Strength')
(('Sun', 'Lovers'), 'Chariot')
(('Death', 'Chariot'), 'Tower')
(('Hierophant', 'Fortune'), 'Chariot')
(('Hermit', 'Judgement'), 'Emperor')
(('Lovers', 'Hermit'), 'Sun')
(('Temperance', 'Judgement'), 'Moon')
(('Emperor', 'Judgement'), 'Hierophant')
(('Chariot', 'NA'), 'Magician')
(('Magician', 'Temperance'), 'Hanged Man')
(('Death', 'Sun'), 'Empress')
(('Chariot', 'Hanged Man'), 'Death')
(('Fortune', 'Hermit'), 'Fool')
(('Devil', 'Hanged Man'), 'Chariot')
(('Star', 'Jester'), 'Tower')
(('Justice', 'Strength'), 'Moon')
(('Fool', 'Hierophant'), 'Chariot')
(('Hanged Man', 'Hanged Man'), 'Death')
(('Empress', 'Fortune'), 'Hermit')
(('Devil', 'Judgement'), 'Sun')
(('Strength', 'Jester'), 'Empress')
(('Emperor', 'Jester'), 'Death')
(('Hanged Man', 'Emperor'), 'Magician')
(('Lovers', 'Sun'), 'Temperance')
(('Tower', 'Star'), 'Moon')
(('Death', 'Hanged Man'), 'Hermit')
(('Magician', 'Hermit'), 'Justice')
(('Empress', 'Jester'), 'Emperor')
(('Tower', 'Devil'), 'Sun')
(('Magician', 'Strength'), 'Emperor')
(('Empress', 'Strength'), 'Chariot')
(('Fortune', 'Emperor'), 'Tower')
(('Chariot', 'Hermit'), 'Chariot')
